"일자","중식계","석식계"
2021-01-27,1041.66294444444,384.991888888889
2021-01-28,982.661166666666,418.972444444444
2021-01-29,612.580102292032,260.679974747475
2021-02-01,1180.48155555555,531.374666666667
2021-02-02,988.494050505051,478.628555555556
2021-02-03,995.31643939394,424.188720959596
2021-02-04,938.516611111111,492.467700680272
2021-02-05,626.778048323778,339.774576923077
2021-02-08,1236.99652564103,595.615299574419
2021-02-09,1009.187,519.517
2021-02-10,796.628639099894,294.979444444445
2021-02-15,1231.19266666667,669.087611111111
2021-02-16,1070.76538888889,593.821722222222
2021-02-17,1034.0615,395.397092592593
2021-02-18,842.559944444444,527.370973544973
2021-02-19,636.301261616162,369.482031746032
2021-02-22,1193.53044444445,618.693680555556
2021-02-23,1017.19577777778,579.198823232323
2021-02-24,795.326972222222,361.00395533769
2021-02-25,818.835777777778,500.796493386243
2021-02-26,552.672222222222,286.993722222222
2021-03-02,1043.0085,597.011222222222
2021-03-03,975.002083333334,375.445756313131
2021-03-04,912.049055555555,478.816261904762
2021-03-05,643.953666666667,354.126564327485
2021-03-08,1238.86316666667,632.331388888889
2021-03-09,1117.61427777778,608.239333333333
2021-03-10,1002.04505555556,390.993462962963
2021-03-11,912.122277777777,461.850095238096
2021-03-12,677.524056504486,278.489808080808
2021-03-15,1240.28588888889,641.527166666667
2021-03-16,1001.287,509.967277777778
2021-03-17,1036.39633333333,355.924666666667
2021-03-18,884.795944444444,441.012404761905
2021-03-19,602.985524514254,260.722363636364
2021-03-22,1203.74257407407,588.758444444445
2021-03-23,980.113592592592,504.431777777778
2021-03-24,901.447745146837,391.72745496838
2021-03-25,814.164388888889,418.915833333333
2021-03-26,565.46332264684,278.232284271284
2021-03-29,1177.13644444444,575.385
2021-03-30,991.050111111111,496.524833333333
2021-03-31,930.504493513398,387.963394768718
2021-04-01,807.551468253968,408.802333333333
2021-04-02,568.66832264684,277.389252525253
2021-04-05,1190.02411111111,574.900055555556
2021-04-06,1010.51883333333,510.719111111111
2021-04-07,970.940333333334,379.322337962963
2021-04-08,872.507777777778,441.489555555556
2021-04-09,579.921411535729,278.856974747475
